Municipio,Media_Indicadores,IBGE,UF
ABAIARA,58.46153846153846,230010.0,CE
ACARAPE,51.62337662337663,230015.0,CE
ACARAÚ,66.04515050167224,230020.0,CE
ACOPIARA,67.13286713286713,230030.0,CE
AIUABA,62.47252747252747,230040.0,CE
ALCÂNTARAS,69.55128205128204,230050.0,CE
ALTANEIRA,74.44444444444444,230060.0,CE
ALTO SANTO,64.66346153846153,230070.0,CE
AMONTADA,65.17722473604826,230075.0,CE
ANTONINA DO NORTE,75.32051282051282,230080.0,CE
APUIARÉS,46.42857142857143,230090.0,CE
AQUIRAZ,60.16483516483516,230100.0,CE
ARACATI,72.71220159151193,230110.0,CE
ARACOIABA,55.325443786982255,230120.0,CE
ARARENDÁ,63.84615384615385,230125.0,CE
ARARIPE,53.36538461538461,230130.0,CE
ARATUBA,60.96153846153846,230140.0,CE
ARNEIROZ,68.18181818181819,230150.0,CE
ASSARÉ,84.0034965034965,230160.0,CE
AURORA,69.50757575757576,230170.0,CE
BAIXIO,65.38461538461539,230180.0,CE
BANABUIÚ,75.40064102564102,230185.0,CE
BARBALHA,68.73776223776224,230190.0,CE
BARREIRA,63.811188811188806,230195.0,CE
BARRO,69.0082644628099,230200.0,CE
BARROQUINHA,73.63782051282051,230205.0,CE
BATURITÉ,62.30769230769231,230210.0,CE
BEBERIBE,69.74206349206348,230220.0,CE
BELA CRUZ,64.25619834710743,230230.0,CE
BOA VIAGEM,58.236208236208235,230240.0,CE
BREJO SANTO,63.198160535117054,230250.0,CE
CAMOCIM,51.71299288946348,230260.0,CE
CAMPOS SALES,58.37912087912088,230270.0,CE
CANINDÉ,55.899293942772196,230280.0,CE
CAPISTRANO,54.54545454545455,230290.0,CE
CARIDADE,54.990842490842496,230300.0,CE
CARIRIAÇU,70.11834319526628,230320.0,CE
CARIRÉ,73.23232323232322,230310.0,CE
CARIÚS,52.029914529914535,230330.0,CE
CARNAUBAL,74.35897435897435,230340.0,CE
CASCAVEL,51.743859649122804,230350.0,CE
CATARINA,64.56043956043956,230360.0,CE
CATUNDA,73.18181818181819,230365.0,CE
CAUCAIA,57.83392963625522,230370.0,CE
CEDRO,69.8224852071006,230380.0,CE
CHAVAL,68.4065934065934,230390.0,CE
CHOROZINHO,60.0,230395.0,CE
CHORÓ,73.71794871794872,230393.0,CE
COREAÚ,73.86363636363636,230400.0,CE
CRATEÚS,56.313131313131315,230410.0,CE
CRATO,71.88127090301003,230420.0,CE
CROATÁ,66.66666666666666,230423.0,CE
CRUZ,65.9090909090909,230425.0,CE
DEPUTADO IRAPUAN PINHEIRO,71.53846153846153,230426.0,CE
ERERÊ,60.6060606060606,230427.0,CE
EUSÉBIO,64.74235104669887,230428.0,CE
FARIAS BRITO,70.96153846153847,230430.0,CE
FORQUILHA,54.7979797979798,230435.0,CE
FORTALEZA,57.043509482775015,230440.0,CE
FORTIM,72.22222222222221,230445.0,CE
FRECHEIRINHA,64.60622710622711,230450.0,CE
GENERAL SAMPAIO,56.73076923076923,230460.0,CE
GRANJA,69.35096153846153,230470.0,CE
GRANJEIRO,52.88461538461539,230480.0,CE
GRAÇA,77.74725274725276,230465.0,CE
GROAÍRAS,70.67307692307692,230490.0,CE
GUAIÚBA,62.179487179487175,230495.0,CE
GUARACIABA DO NORTE,62.75978407557355,230500.0,CE
GUARAMIRANGA,69.87179487179486,230510.0,CE
HIDROLÂNDIA,67.3076923076923,230520.0,CE
HORIZONTE,71.10453648915187,230523.0,CE
IBARETAMA,72.25274725274724,230526.0,CE
IBIAPINA,72.6577909270217,230530.0,CE
IBICUITINGA,74.03846153846153,230533.0,CE
ICAPUÍ,65.96153846153847,230535.0,CE
ICÓ,61.44688644688645,230540.0,CE
IGUATU,66.99943438914028,230550.0,CE
INDEPENDÊNCIA,69.06939214631522,230560.0,CE
IPAPORANGA,72.62820512820512,230565.0,CE
IPAUMIRIM,65.7051282051282,230570.0,CE
IPU,53.76602564102564,230580.0,CE
IPUEIRAS,63.37912087912088,230590.0,CE
IRACEMA,63.333333333333336,230600.0,CE
IRAUÇUBA,66.7948717948718,230610.0,CE
ITAITINGA,62.94444444444444,230625.0,CE
ITAIÇABA,79.54545454545455,230620.0,CE
ITAPAGÉ,57.458333333333336,230630.0,CE
ITAPIPOCA,55.698005698005694,230640.0,CE
ITAPIÚNA,55.83333333333333,230650.0,CE
ITAREMA,57.0405982905983,230655.0,CE
ITATIRA,60.66433566433567,230660.0,CE
JAGUARETAMA,65.38461538461539,230670.0,CE
JAGUARIBARA,76.15384615384616,230680.0,CE
JAGUARIBE,65.23809523809524,230690.0,CE
JAGUARUANA,71.91742081447964,230700.0,CE
JARDIM,52.1819526627219,230710.0,CE
JATI,61.74242424242424,230720.0,CE
JIJOCA DE JERICOACOARA,72.32905982905983,230725.0,CE
JUAZEIRO DO NORTE,70.70129870129871,230730.0,CE
JUCÁS,56.43315018315018,230740.0,CE
LAVRAS DA MANGABEIRA,57.56410256410256,230750.0,CE
LIMOEIRO DO NORTE,61.95054945054945,230760.0,CE
MADALENA,52.16346153846154,230763.0,CE
MARACANAÚ,51.90775094621249,230765.0,CE
MARANGUAPE,54.57875457875458,230770.0,CE
MARCO,77.5,230780.0,CE
MARTINÓPOLE,74.35897435897435,230790.0,CE
MASSAPÊ,63.64468864468865,230800.0,CE
MAURITI,70.03205128205128,230810.0,CE
MERUOCA,67.4908424908425,230820.0,CE
MILAGRES,72.66483516483517,230830.0,CE
MILHÃ,71.7948717948718,230835.0,CE
MIRAÍMA,59.40934065934066,230837.0,CE
MISSÃO VELHA,52.9780982905983,230840.0,CE
MOMBAÇA,76.85185185185186,230850.0,CE
MONSENHOR TABOSA,51.10576923076923,230860.0,CE
MORADA NOVA,53.490534144692354,230870.0,CE
MORAÚJO,66.34615384615384,230880.0,CE
MORRINHOS,68.85683760683762,230890.0,CE
MUCAMBO,64.72222222222223,230900.0,CE
MULUNGU,67.04545454545455,230910.0,CE
NOVA OLINDA,57.967032967032964,230920.0,CE
NOVA RUSSAS,66.73076923076923,230930.0,CE
NOVO ORIENTE,56.13553113553114,230940.0,CE
OCARA,57.69230769230769,230945.0,CE
ORÓS,77.0979020979021,230950.0,CE
PACAJUS,58.65384615384615,230960.0,CE
PACATUBA,60.45150501672241,230970.0,CE
PACOTI,64.01515151515152,230980.0,CE
PACUJÁ,64.1025641025641,230990.0,CE
PALHANO,80.1923076923077,231000.0,CE
PALMÁCIA,52.30769230769231,231010.0,CE
PARACURU,49.19871794871795,231020.0,CE
PARAIPABA,57.21445221445221,231025.0,CE
PARAMBU,46.11686390532544,231030.0,CE
PARAMOTI,65.0,231040.0,CE
PEDRA BRANCA,78.38496345283676,231050.0,CE
PENAFORTE,67.98076923076923,231060.0,CE
PENTECOSTE,57.82051282051282,231070.0,CE
PEREIRO,63.18681318681319,231080.0,CE
PINDORETAMA,46.53846153846154,231085.0,CE
PIQUET CARNEIRO,76.4423076923077,231090.0,CE
PIRES FERREIRA,71.4423076923077,231095.0,CE
PORANGA,64.71153846153847,231100.0,CE
PORTEIRAS,67.58241758241758,231110.0,CE
POTENGI,81.73076923076923,231120.0,CE
POTIRETAMA,58.97435897435898,231123.0,CE
QUITERIANÓPOLIS,64.33566433566433,231126.0,CE
QUIXADÁ,56.88914027149321,231130.0,CE
QUIXELÔ,67.3076923076923,231135.0,CE
QUIXERAMOBIM,63.55519480519481,231140.0,CE
QUIXERÉ,65.0,231150.0,CE
REDENÇÃO,73.62637362637362,231160.0,CE
RERIUTABA,75.0267094017094,231170.0,CE
RUSSAS,78.2936507936508,231180.0,CE
SABOEIRO,52.36742424242424,231190.0,CE
SALITRE,66.58653846153847,231195.0,CE
SANTA QUITÉRIA,56.71550671550672,231220.0,CE
SANTANA DO ACARAÚ,66.32598171059709,231200.0,CE
SANTANA DO CARIRI,65.94551282051282,231210.0,CE
SENADOR POMPEU,70.11834319526628,231270.0,CE
SENADOR SÁ,67.3076923076923,231280.0,CE
SOBRAL,71.57659151193634,231290.0,CE
SOLONÓPOLE,56.0897435897436,231300.0,CE
SÃO BENEDITO,74.31485518530053,231230.0,CE
SÃO GONÇALO DO AMARANTE,59.2572463768116,231240.0,CE
SÃO JOÃO DO JAGUARIBE,76.4423076923077,231250.0,CE
SÃO LUÍS DO CURU,62.27106227106227,231260.0,CE
TABULEIRO DO NORTE,57.396449704142015,231310.0,CE
TAMBORIL,72.96597633136095,231320.0,CE
TARRAFAS,71.15384615384616,231325.0,CE
TAUÁ,62.109044801352496,231330.0,CE
TEJUÇUOCA,61.157407407407405,231335.0,CE
TIANGUÁ,73.74643874643876,231340.0,CE
TRAIRI,56.77234299516908,231350.0,CE
TURURU,53.84615384615385,231355.0,CE
UBAJARA,76.87728937728937,231360.0,CE
UMARI,48.55769230769231,231370.0,CE
UMIRIM,49.27884615384615,231375.0,CE
URUBURETAMA,75.23726273726274,231380.0,CE
URUOCA,68.68131868131869,231390.0,CE
VARJOTA,74.0995115995116,231395.0,CE
VIÇOSA DO CEARÁ,62.072649572649574,231410.0,CE
VÁRZEA ALEGRE,62.25838264299803,231400.0,CE
